name,date_filed,city,state,url,count,allegations
Ability 1st,2022-03-02,Albuquerque,NM,https://www.nlrb.gov/case/28-CA-291570,3,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline), 8(a)(1) Coercive Rules, and 8(a)(1) Coercive Actions (Surveillance, etc)"
ABLE Equipment,2022-01-28,Pennsauken,NJ,https://www.nlrb.gov/case/04-CA-289664,1,8(a)(1) Weingarten
Able Services,2022-04-08,Los Angeles,CA,https://www.nlrb.gov/case/31-CA-293854,1,8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
ABM,2022-03-23,Putnam,CT,https://www.nlrb.gov/case/01-CA-292763,1,8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
ABM Industries,2022-02-17,Los Angeles,NA,https://www.nlrb.gov/case/21-CA-290830,1,8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
ABM/Dulles Airport,2022-02-23,Crofton,MD,https://www.nlrb.gov/case/05-CA-291047,1,8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
AC Transit,2022-03-26,Oakland,CA,https://www.nlrb.gov/case/32-CA-293200,2,8(a)(5) Refusal to Furnish Information and 8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
"ACCEL LOGISTICS, INC.",2022-03-08,Arlington,TX,https://www.nlrb.gov/case/16-CA-291891,1,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
"Accent Controls, Inc.",2022-01-06,Warren,MI,https://www.nlrb.gov/case/07-CA-288559,2,"8(a)(4) Discharge (including Layoff and Refusal to Hire) and 8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
"Accent Controls, Inc.",2022-02-14,Warren,MI,https://www.nlrb.gov/case/07-CA-290502,1,8(a)(4) Discipline
Accenture LLP,2022-03-24,Charlottesville,VA,https://www.nlrb.gov/case/05-CA-293011,1,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
"Accolade, Inc.",2022-03-23,Scottsdale,AZ,https://www.nlrb.gov/case/28-CA-292987,2,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline) and 8(a)(1) Coercive Rules"
ACD Direct,2022-03-11,Farmington,UT,https://www.nlrb.gov/case/27-CA-292117,1,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
Ace Hardware,2022-01-10,Colorado Springs,CO,https://www.nlrb.gov/case/27-CA-288687,1,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
Ace Hardware Retail Support Center,2022-02-03,Colorado Springs,CO,https://www.nlrb.gov/case/27-CA-290088,1,8(a)(1) Coercive Rules
Ace Hardware RSC,2022-03-21,Colorado Springs,CO,https://www.nlrb.gov/case/27-CA-292581,1,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
ACE Hardware RSC,2022-03-18,Colorado Springs,CO,https://www.nlrb.gov/case/27-CA-292563,2,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline) and 8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
Acero Charter Schools,2022-01-20,Chicago,IL,https://www.nlrb.gov/case/13-CA-289205,1,8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
ACMS Group Inc.,2022-03-30,Valparaiso,IN,https://www.nlrb.gov/case/25-CA-293298,2,8(a)(5) Refusal to Furnish Information and 8(a)(5) Refusal to Recognize
Action Staffing Group,2022-03-22,Vinita,OK,https://www.nlrb.gov/case/14-CA-292629,1,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
Acumen Capital Partners LLC,2022-03-07,Brooklyn,NY,https://www.nlrb.gov/case/29-CA-291981,2,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting)) and 8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
ADAPT Community Network,2022-02-16,Bronx,NY,https://www.nlrb.gov/case/02-CA-290838,1,8(a)(5) Refusal to Furnish Information
Adient,2022-01-14,Northwood,OH,https://www.nlrb.gov/case/08-CA-288977,1,8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
Adient,2022-03-30,Northwood,OH,https://www.nlrb.gov/case/08-CA-293273,1,8(a)(1) Weingarten
"Adient, Inc.",2022-02-22,Battle Creek,MI,https://www.nlrb.gov/case/07-CA-290925,1,8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
ADT,2022-02-23,Salt Lake City,UT,https://www.nlrb.gov/case/27-CA-291077,2,8(a)(5) Refusal to Furnish Information and 8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
"ADT, LLC",2022-01-07,Louisville,KY,https://www.nlrb.gov/case/09-CA-288628,1,8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
"ADT, LLC",2022-01-07,Louisville,KY,https://www.nlrb.gov/case/09-CA-288632,1,8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
"ADT, LLC",2022-04-01,Maryland Heights,MO,https://www.nlrb.gov/case/14-CA-293361,2,8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes] and 8(a)(5) Refusal to Furnish Information
"ADT, LLC",2022-04-07,Louisville,KY,https://www.nlrb.gov/case/09-CA-293770,1,8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
"ADT, LLC",2022-04-08,Oak Brook,IL,https://www.nlrb.gov/case/13-CA-293751,1,8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
Adult Hockey Association,2022-03-09,Edina,MN,https://www.nlrb.gov/case/18-CA-292007,3,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline), 8(a)(3) Discipline, and 8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))"
"ADVANCE SIGN GROUP, LLC",2022-01-04,Columbus,OH,https://www.nlrb.gov/case/09-CA-288699,2,"8(a)(1) Coercive Rules and 8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
Advancia Ahtna Joint Venture,2022-03-21,Independence,MO,https://www.nlrb.gov/case/14-CA-292538,1,8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
"AEG Management Las Vegas, LLC",2022-02-24,Las Vegas,NV,https://www.nlrb.gov/case/28-CA-291367,4,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline), 8(a)(2) Assistance, 8(a)(2) Assistance, and 8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
"AEG Management Las Vegas, LLC",2022-04-08,Las Vegas,NV,https://www.nlrb.gov/case/28-CA-293795,2,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline) and 8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)"
"Aerojet Rocketdyne, Inc.",2022-04-12,Canoga Park,CA,https://www.nlrb.gov/case/31-CA-294021,1,8(a)(3) Changes in Terms and Conditions of Employment
"Affiliated Property Craftspersons, Local 44, IATSE (No Employer)",2022-01-31,Los Angeles,CA,https://www.nlrb.gov/case/31-CB-289834,2,8(b)(1)(A) Union Dues and/or Membership Related (including excessive fees) and 8(b)(2) Causing Employer to Discriminate/Retaliate
AFGE CPL 33 Union Local 3976 (US Dept of Justice- Federal Bureau of Prisons),2022-03-02,Estill,SC,https://www.nlrb.gov/case/10-CB-291524,2,"8(b)(1)(A) Coercion, incl'g Statements and Violence and 8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
AFGE DISTRICT 9 ( Little Rock AFB Commissary),2022-03-07,Little Rock Air Force Base,AR,https://www.nlrb.gov/case/15-CB-291787,1,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
AFSCME (Glenwood Resource Center),2022-03-21,Glenwood,IA,https://www.nlrb.gov/case/14-CB-292536,2,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access and 8(b)(3) Refusal to Bargain/Bad Faith or Surface Bargaining"
AFSCME (Hudson County),2022-03-22,Jersey City,NJ,https://www.nlrb.gov/case/22-CB-292697,1,8(b)(3) Refusal to Bargain/Bad Faith or Surface Bargaining
AFSCME (Steward Health),2022-03-22,Warren,OH,https://www.nlrb.gov/case/08-CB-292727,1,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
AFSCME 93,2022-03-14,Boston,MA,https://www.nlrb.gov/case/01-CA-292214,3,"8(a)(4) Discharge (including Layoff and Refusal to Hire), 8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline), and 8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))"
AFSCME Council 93,2022-03-14,Boston,MA,https://www.nlrb.gov/case/01-CA-292218,4,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing), 8(a)(4) Changes in Terms and Conditions of Employment, 8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes], and 8(a)(3) Changes in Terms and Conditions of Employment"
AFSCME COUNCIL 93 (Boston Medical Center),2022-03-22,Boston,MA,https://www.nlrb.gov/case/01-CB-292615,1,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
"AFSCME District Council 37, Local 374",2022-04-08,Manhattan,NY,https://www.nlrb.gov/case/02-CB-293840,1,8(b)(3) Refusal to Bargain/Bad Faith or Surface Bargaining
"AFSCME District Council 37, Local 374 (New York Public Library)",2022-04-13,New York,NY,https://www.nlrb.gov/case/02-CB-293984,1,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
"AFSCME Florida Council 79 of the American Federation of State, County and Municipal Employees, AFL-CIO",2022-03-11,Plant City,FL,https://www.nlrb.gov/case/12-CA-292084,4,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing), 8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline), 8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes], and 8(a)(5) Refusal to Furnish Information"
AFSCME Maryland Council 3 (Maryland Department of Public Safety and Correctional Services),2022-01-03,Baltimore,MD,https://www.nlrb.gov/case/05-CB-288378,1,8(b)(3) Refusal to Bargain/Bad Faith or Surface Bargaining
AFSCME MD (Maryland Department of Transportation),2022-04-06,Centreville,MD,https://www.nlrb.gov/case/05-CB-293629,2,"8(b)(2) Hiring Hall Related and 8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
AFSCME Texas Correctional Employees Council 907,2022-04-12,Conroe,TX,https://www.nlrb.gov/case/16-CA-293971,3,"8(a)(2) Domination, 8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing), and 8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))"
AFSCME Texas Council Staff Union (ATCSU)(AFSCME Texas Correctional Employees Council 907),2022-04-12,Conroe,TX,https://www.nlrb.gov/case/16-CB-293998,2,"8(b)(2) Lawsuits and 8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
"AFSCME, Local 77 (Duke University)",2022-01-18,Durham,NC,https://www.nlrb.gov/case/10-CB-288980,1,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
Aggregate Industries,2022-01-12,Las Vegas,NV,https://www.nlrb.gov/case/28-CA-288832,2,"8(a)(3) Changes in Terms and Conditions of Employment and 8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
AGGREGATE INDUSTRIES,2022-04-12,Boston,MA,https://www.nlrb.gov/case/01-CA-293988,1,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)"
"AGK Restaurants d/b/a McDonald’s Restaurants, McDonald’s Corp., and McDonald’s USA LLC as Joint/Single Employer",2022-03-07,Phoenix,AZ,https://www.nlrb.gov/case/28-CA-291892,2,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting)) and 8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
Ahlstrom Munksjo,2022-03-30,Kaukauna,WI,https://www.nlrb.gov/case/18-CA-293223,1,8(a)(5) Refusal to Furnish Information
AHMC San Gabriel Valley Medical Center LP,2022-03-24,San Gabriel,CA,https://www.nlrb.gov/case/21-CA-292841,1,8(a)(3) Changes in Terms and Conditions of Employment
AHMC Seton Medical Center and AHMC Seton Medical Center Coastside,2022-03-29,Daly City,CA,https://www.nlrb.gov/case/20-CA-293176,1,8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
AHMC Seton Medical Center and AHMC Seton Medical Center Coastside,2022-04-11,Daly City,CA,https://www.nlrb.gov/case/20-CA-293919,4,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes], 8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing), 8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing), and 8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]"
AHMC Seton Medical Center LLC,2022-03-28,Daly City,CA,https://www.nlrb.gov/case/20-CA-292988,1,8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
AHRC,2022-03-14,New York,NY,https://www.nlrb.gov/case/02-CA-292163,2,"8(a)(4) Discipline and 8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
AIDS Healthcare Foundation,2022-02-08,Los Angeles,CA,https://www.nlrb.gov/case/31-CA-290379,3,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.), 8(a)(3) Discipline, and 8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))"
"Air Capitol Fire, LLC and its alter ego, Platinum Fire LLC",2022-02-24,Park City,KS,https://www.nlrb.gov/case/14-CA-291129,2,8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes] and 8(a)(5) Refusal to Furnish Information
"Air Ventures, LLC",2022-02-24,Boston,MA,https://www.nlrb.gov/case/01-CA-291234,1,"8(a)(1) Coercive Actions (Surveillance, etc)"
"Air Ventures, LLC",2022-02-24,Boston,MA,https://www.nlrb.gov/case/01-CA-291253,1,8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
"Air Ventures, LLC",2022-03-31,Boston,MA,https://www.nlrb.gov/case/01-CA-293293,1,"8(a)(1) Coercive Actions (Surveillance, etc)"
Airborne Tactical Advantage Company,2022-01-24,Point Mugu Nawc,CA,https://www.nlrb.gov/case/31-CA-289417,2,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline) and 8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)"
Airboss Flexible Products,2022-01-18,Auburn Hills,MI,https://www.nlrb.gov/case/07-CA-289183,1,8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
"AirPro Diagnostics, LLC",2022-02-15,Jacksonville,FL,https://www.nlrb.gov/case/12-CA-290638,1,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
Akima Global Services,2022-02-14,Harlingen,TX,https://www.nlrb.gov/case/16-CA-290648,4,"8(a)(1) Weingarten, 8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.), 8(a)(5) Refusal to Furnish Information, and 8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
"Akima Support Operations, LLC (ASO); Sunik, LLC",2022-02-14,Tracy,CA,https://www.nlrb.gov/case/32-CA-290703,2,8(a)(5) Refusal to Furnish Information and 8(a)(1) Weingarten
Akron General Medical Center,2022-02-22,Akron,OH,https://www.nlrb.gov/case/08-CA-291068,1,8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
Alamo Drafthouse Cinema Lake Highlands,2022-01-10,Dallas,TX,https://www.nlrb.gov/case/16-CA-288682,1,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
"Alamo Mission LLC dba Alamo Drafthouse New Mission Theatre and its Successor Alamo Intermediate II Holdings, LLC",2022-02-23,San Francisco,CA,https://www.nlrb.gov/case/20-CA-291269,2,8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes] and 8(a)(3) Refusal to Reinstate E'ee/Striker (e.g. Laidlaw)
Alaskan Copper and Brass Company,2022-01-27,Seattle,WA,https://www.nlrb.gov/case/19-CA-289665,1,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)"
Alba Services Inc,2022-02-23,New York,NY,https://www.nlrb.gov/case/02-CA-291184,2,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting)) and 8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)"
Albertson’s LLC and the Vons Companies,2022-03-07,Vista,CA,https://www.nlrb.gov/case/21-CA-291853,1,8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
Albertsons LLC,2022-01-27,Brea,CA,https://www.nlrb.gov/case/21-CA-289604,1,8(a)(1) Weingarten
Albertsons LLC,2022-02-01,Irvine,CA,https://www.nlrb.gov/case/21-CA-289861,1,8(a)(1) Weingarten
Albertsons/Vons,2022-03-07,Fullerton,CA,https://www.nlrb.gov/case/21-CA-291769,1,8(a)(5) Refusal to Furnish Information
Alcoa,2022-02-09,Newburgh,NA,https://www.nlrb.gov/case/25-CA-290430,1,8(a)(5) Refusal to Furnish Information
Alert Ambulance,2022-01-11,Chicopee,MA,https://www.nlrb.gov/case/01-CA-288767,2,8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing) and 8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
Alfagomma Inc.,2022-03-01,Batavia,IL,https://www.nlrb.gov/case/13-CA-291426,2,8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting)) and 8(a)(1) Interrogation (including Polling)
ALH Construction Company,2022-01-03,Elizabethton,TN,https://www.nlrb.gov/case/10-CA-288357,2,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline) and 8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)"
Alkegen (Formerly Unifrax),2022-03-18,Tonawanda,NY,https://www.nlrb.gov/case/03-CA-292485,1,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
